ID,Date,Name,Industry,Inception,Revenue,Expenses,Growth
1,02/07/2012,Lamtone,IT Services,2009,"$11,757,018",7429377,30%
2,03/07/2012,Stripfind,Financial Services,,"$22,757,028",,20%
3,05/07/2012,Caneco,,,"$33,757,038",,7%
4,06/07/2012,Mattouch,,,"$44,757,048",2234567,26%
5,09/07/2012,Techdrill,,,"$55,757,058",,8%
6,15/07/2012,Techline,Health,2006,"$66,757,068",8429377,23%
7,16/07/2012,Cityace,,2010,"$77,757,078",,6%
8,17/07/2012,Kay,,,"$88,757,088",,4%
9,19/07/2012,Ganzlax,,,"$99,757,098",,18%
10,21/07/2012,Trantraxias,Government Services,2011,"$9010,757,0",6489377,7%
